what,kind,bundleId,bundleVersion,description,time
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417840
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417840
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417866
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417866
error,log,,,"SOPC design not set.",1350047417867
error,log,,,"CPU module not set.",1350047417867
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047417867
error,log,,,"CPU architecture type not set. ",1350047417867
error,log,,,"CPU master group not set.",1350047417868
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417868
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417868
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417869
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417869
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417895
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417895
error,log,,,"SOPC design not set.",1350047417895
error,log,,,"CPU module not set.",1350047417896
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047417896
error,log,,,"CPU architecture type not set. ",1350047417896
error,log,,,"CPU master group not set.",1350047417896
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417896
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417897
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417897
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047417898
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047417923
