what,kind,bundleId,bundleVersion,description,time
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047444215
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047444215
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047445954
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047445954
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047445983
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047445984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350047446013
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047447746
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047447747
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449310
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449310
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449347
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449348
error,log,,,"SOPC design not set.",1350047449349
error,log,,,"CPU module not set.",1350047449349
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047449350
error,log,,,"CPU architecture type not set. ",1350047449350
error,log,,,"CPU master group not set.",1350047449350
error,log,,,"SOPC design not set.",1350047449381
error,log,,,"CPU module not set.",1350047449381
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047449381
error,log,,,"CPU architecture type not set. ",1350047449382
error,log,,,"CPU master group not set.",1350047449382
error,log,,,"SOPC design not set.",1350047449454
error,log,,,"CPU module not set.",1350047449454
