what,kind,bundleId,bundleVersion,description,time
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047603239
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047603239
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047603240
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047603240
error,log,,,"SOPC design not set.",1350047603404
error,log,,,"CPU module not set.",1350047603405
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047603405
error,log,,,"CPU architecture type not set. ",1350047603414
error,log,,,"CPU master group not set.",1350047603414
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047603415
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047603415
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047605199
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047605199
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047605229
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047605229
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350047605256
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047606443
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047606443
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047607693
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047607693
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047607734
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1350047607734
error,log,,,"SOPC design not set.",1350047607739
error,log,,,"CPU module not set.",1350047607739
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047607739
