what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1350047449570
error,log,,,"CPU master group not set.",1350047449570
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449571
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449571
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449571
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449571
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449596
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449596
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449598
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449598
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449624
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449624
error,log,,,"SOPC design not set.",1350047449624
error,log,,,"CPU module not set.",1350047449625
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047449625
error,log,,,"CPU architecture type not set. ",1350047449625
error,log,,,"CPU master group not set.",1350047449625
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449625
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449626
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449626
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449627
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047449652
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047449652
error,log,,,"SOPC design not set.",1350047449652
error,log,,,"CPU module not set.",1350047449653
