what,kind,bundleId,bundleVersion,description,time
error,log,,,"SOPC design not set.",1350003087877
error,log,,,"CPU module not set.",1350003087877
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350003087877
error,log,,,"CPU architecture type not set. ",1350003087878
error,log,,,"CPU master group not set.",1350003087878
error,log,,,"SOPC design not set.",1350003088000
error,log,,,"CPU module not set.",1350003088000
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350003088001
error,log,,,"CPU architecture type not set. ",1350003088001
error,log,,,"CPU master group not set.",1350003088001
error,log,,,"SOPC design not set.",1350003088029
error,log,,,"CPU module not set.",1350003088029
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350003088029
error,log,,,"CPU architecture type not set. ",1350003088030
error,log,,,"CPU master group not set.",1350003088030
error,log,,,"SOPC design not set.",1350003088130
error,log,,,"CPU module not set.",1350003088130
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350003088130
error,log,,,"CPU architecture type not set. ",1350003088131
error,log,,,"CPU master group not set.",1350003088131
error,log,,,"SOPC design not set.",1350003088161
error,log,,,"CPU module not set.",1350003088161
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350003088162
error,log,,,"CPU architecture type not set. ",1350003088162
error,log,,,"CPU master group not set.",1350003088162
