what,kind,bundleId,bundleVersion,description,time
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455305
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455305
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455306
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455306
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455332
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455332
error,log,,,"SOPC design not set.",1350047455333
error,log,,,"CPU module not set.",1350047455333
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047455333
error,log,,,"CPU architecture type not set. ",1350047455333
error,log,,,"CPU master group not set.",1350047455334
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455334
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455334
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455335
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455335
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455360
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455360
error,log,,,"SOPC design not set.",1350047455360
error,log,,,"CPU module not set.",1350047455360
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350047455360
error,log,,,"CPU architecture type not set. ",1350047455361
error,log,,,"CPU master group not set.",1350047455361
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455361
error,log,,,"System timestamp mismatch - connected: ""1349258764"", expected: ""1350018524"".",1350047455361
error,log,,,"System ID mismatch - connected: ""0x5c00298c"", expected: ""0x4f7d0c2e"". ",1350047455362
